Link,Title,Modelo,Marca,Ano,Quilometragem,Preço
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/peugeot-3008-1-6-griffe-thp-16v-gasolina-4p-automatico-864691329,Peugeot 3008 1.6 Griffe THP 16V Gasolina 4P Automático,PEUGEOT 3008 GRIFFE 1.6 TURBO 16V 5P AUT.,PEUGEOT,2014,60000,R$ 45.000
https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/new-fiesta-titantium-top-de-linha-automatico-866427585,New fiesta titantium top de linha automático ,FORD FIESTA TIT./TIT.PLUS 1.6 16V FLEX AUT.,FORD,2015,53000,R$ 46.000
https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/golf-msi-leia-todo-o-anuncio-por-favor-863213452,"Golf MSI - Leia todo o anúncio, por favor!!",VW - VOLKSWAGEN GOLF COMFORTLINE 1.6 MSI TOTAL FLEX AUT.,VW - VOLKSWAGEN,2016,59500,R$ 66.000
https://rs.olx.com.br/regioes-de-pelotas-rio-grande-e-bage/autos-e-pecas/carros-vans-e-utilitarios/audi-a1-1-4-ano-2012-866412776,Audi A1 1.4 Ano 2012,AUDI A1 1.4 TFSI 122CV S-TRONIC 3P,AUDI,2012,70000,R$ 40.000
https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-lx-cambio-cvt-858550388,Honda FIT LX Câmbio CVT,HONDA FIT LX 1.4/ 1.4 FLEX 8V/16V 5P AUT.,HONDA,2015,80000,R$ 52.500
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/peugeot-2008-1-6-griff-2017-864281652,PEUGEOT 2008 1.6 GRIFF 2017,PEUGEOT 2008 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2017,72000,R$ 58.900
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/jetta-1-4-tsi-trendline-2016-866393400,Jetta 1.4 TSI Trendline 2016,VW - VOLKSWAGEN JETTA TRENDLINE 1.4 TSI 16V 4P  AUT.,VW - VOLKSWAGEN,2016,67000,R$ 65.000
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/troco-volvo-xc-60-por-journey-866384508,Troco Volvo XC 60 por Journey,VOLVO XC-60,VOLVO,2012,72000,R$ 52.000
https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/fiat-bravo-dualogic-2016-abaixo-fipe-866379852,Fiat Bravo dualogic 2016 Abaixo FIPE,FIAT BRAVO ESSENCE DUALOGIC 1.8 FLEX 16V 5P,FIAT,2016,75000,R$ 41.500
https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/renalt-fluense-dynamic-2-0-2017-gnv-866376231,Renalt Fluense Dynamic 2.0 2017 GNV,RENAULT FLUENCE SED. DYN. PLUS 2.0 16V FLEX AUT.,RENAULT,2017,68800,R$ 50.900
