Modelo,Marca,Ano,Quilometragem,Preço
RENAULT FLUENCE SEDAN GT LINE 2.0 FLEX AUT.,RENAULT,2014,80000,R$ 45.900
GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2016,42000,R$ 49.500
KIA MOTORS CERATO 1.6 16V  FLEX  AUT.,KIA MOTORS,2014,63000,R$ 47.900
CITROEN C4 LOUNGE TENDANCE 2.0 FLEX 4P AUT.,CITROEN,2014,123,R$ 43.900
FORD FOCUS 2.0 16V/SE/SE PLUS FLEX 5P AUT.,FORD,2015,42000,R$ 46.000
TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,2020,0,R$ 0
GM - CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2016,48000,R$ 46.900
PEUGEOT 208 ALLURE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2017,7000,R$ 52.000
HYUNDAI TUCSON 2.0 16V AUT.,HYUNDAI,2016,57000,R$ 49.900
VW - VOLKSWAGEN GOL I MOTION TRENDLINE 1.6 T. FLEX 8V 5P,VW - VOLKSWAGEN,2014,52000,R$ 32.500
FORD FOCUS SED. TI./TI.PLUS 2.0 16V FLEX  AUT,FORD,2015,56000,R$ 52.900
GM - CHEVROLET CAMARO SS CONVERSÍVEL 6.2 V8 16V,GM - CHEVROLET,2020,0,R$ 0
VW - VOLKSWAGEN VOYAGE I MOTION COMF/HGHLI.1.6 T.FLEX 8V,VW - VOLKSWAGEN,2015,63000,R$ 35.900
HONDA FIT CX 1.4 FLEX 16V 5P AUT.,HONDA,2014,70500,R$ 39.000
RENAULT FLUENCE SED. DYN. PLUS 2.0 16V FLEX AUT.,RENAULT,2015,0,R$ 39.900
JEEP COMPASS SPORT 2.0 4X4 FLEX 16V AUT.,JEEP,2018,26000,R$ 0
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,94,R$ 45.900
GM - CHEVROLET COBALT ADVANTAGE 1.8 8V ECO.FLEX 4P AUT.,GM - CHEVROLET,2014,74000,R$ 43.900
TOYOTA COROLLA,TOYOTA,2015,36692,R$ 48.500
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,69000,R$ 53.500
FORD FOCUS FASTBACK SE/SE PLUS 2.0 FLEX AUT.,FORD,2016,76250,R$ 53.900
FIAT PALIO WEEK. ADV. DUALOGIC 1.8 FLEX,FIAT,2017,57000,R$ 50.000
HONDA FIT EXL 1.5 FLEX/FLEXONE 16V 5P AUT,HONDA,2015,59000,R$ 54.000
FORD FOCUS 1.6 S/1.6 SE FLEX 16V 5P AUT,FORD,2015,73000,R$ 46.990
CITROEN C3 PICASSO TENDANCE 1.6 FLEX 16V 5P AUT.,CITROEN,2015,66000,R$ 37.283
HYUNDAI HB20 COMFORT PLUS 1.0 TB FLEX 12V MEC.,HYUNDAI,2017,0,R$ 0
HONDA FIT,HONDA,2014,52664,R$ 33.500
FIAT SIENA ESSENCE DUALOGIC 1.6 FLEX 16V 4P,FIAT,2014,115,R$ 33.900
GM - CHEVROLET ONIX HATCH LT 1.4 8V FLEXPOWER 5P AUT.,GM - CHEVROLET,2017,46185,R$ 49.990
RENAULT DUSTER DYNAMIQUE 2.0  HI-FLEX 16V AUT.,RENAULT,2015,48000,R$ 50.900
JEEP COMPASS LIMITED 2.0 4X4 DIESEL 16V AUT.,JEEP,2019,37000,R$ 0
VW - VOLKSWAGEN POLO HIGHLINE 200 TSI 1.0 FLEX 12V AUT.,VW - VOLKSWAGEN,2018,75377,R$ 40.000
PEUGEOT 408 SEDAN GRIFFE 1.6 TB FLEX 16V 4P AUT.,PEUGEOT,2015,75000,R$ 46.000
VW - VOLKSWAGEN UP! CROSS I MOTION 1.0 T.FLEX 12V 5P,VW - VOLKSWAGEN,2017,67000,R$ 44.000
HYUNDAI HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,HYUNDAI,2014,78000,R$ 35.000
MITSUBISHI L200 TRITON HPE 3.2 CD TB INT.DIESEL AUT,MITSUBISHI,2015,51700,R$ 0
NISSAN VERSA SV 1.6 16V FLEXSTART 4P AUT.,NISSAN,2017,60000,R$ 53.900
TOYOTA ETIOS X SEDAN 1.5 FLEX 16V 4P AUT.,TOYOTA,2018,37500,R$ 54.788
FORD FOCUS SEDAN 1.6 16V FLEX 4P AUT.,FORD,2014,65000,R$ 46.900
HYUNDAI TUCSON 2.0 16V FLEX AUT.,HYUNDAI,2016,62500,R$ 50.000
HONDA FIT CX 1.4 FLEX 16V 5P AUT.,HONDA,2014,75000,R$ 45.000
GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P AUT.,GM - CHEVROLET,2015,62000,R$ 44.900
GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,2014,71000,R$ 53.500
FIAT UNO WAY 1.4 EVO DUALOGIC FLEX 8V 5P,FIAT,2016,76000,R$ 30.000
FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,2015,75000,R$ 52.000
PEUGEOT 3008 GRIFFE 1.6 TURBO 16V 5P AUT.,PEUGEOT,2014,60000,R$ 45.000
FIAT PALIO SPORTING DUAL. B.EDIT. 1.6 FLEX 5P,FIAT,2016,47000,R$ 46.900
PEUGEOT 208 GRIFFE 1.6 FLEX 16V 5P AUT.,PEUGEOT,2014,49000,R$ 44.900
FORD FOCUS SED. TI./TI.PLUS 2.0 16V FLEX  AUT,FORD,2014,79813,R$ 55.000
RENAULT SANDERO PRIVILÈGE HI-FLEX 1.6 16V 5P AUT,RENAULT,2014,32000,R$ 36.000
RENAULT FLUENCE SEDAN GT LINE 2.0 FLEX AUT.,RENAULT,2014,80000,R$ 45.900
